Drug,Protein
DB06469,9606.ENSP00000386213
DB06595,9606.ENSP00000312741
DB12874,9606.ENSP00000324560
DB06469,9606.ENSP00000341189
DB06469,9606.ENSP00000296474
DB06595,9606.ENSP00000420849
DB06595,9606.ENSP00000229812
DB06469,9606.ENSP00000355731
DB06595,9606.ENSP00000340373
DB06595,9606.ENSP00000347427
DB06595,9606.ENSP00000339916
DB06469,9606.ENSP00000437550
DB06469,9606.ENSP00000256443
DB06595,9606.ENSP00000300093
DB06595,9606.ENSP00000385751
DB06469,9606.ENSP00000483424
DB06595,9606.ENSP00000303830
DB06469,9606.ENSP00000345997
DB06595,9606.ENSP00000359424
DB06595,9606.ENSP00000353824
DB06595,9606.ENSP00000261798
DB00398,9606.ENSP00000345997
DB06469,9606.ENSP00000262506
DB06469,9606.ENSP00000220003
DB06595,9606.ENSP00000372035
DB06469,9606.ENSP00000238616
DB06469,9606.ENSP00000393312
DB06595,9606.ENSP00000355237
DB06469,9606.ENSP00000351209
DB06469,9606.ENSP00000353452
DB06595,9606.ENSP00000478874
DB06469,9606.ENSP00000480763
DB06469,9606.ENSP00000342235
DB06595,9606.ENSP00000369162
DB06595,9606.ENSP00000429744
DB06595,9606.ENSP00000394734
DB06595,9606.ENSP00000372023
DB06469,9606.ENSP00000500386
DB00398,9606.ENSP00000370891
DB06469,9606.ENSP00000499900
DB06469,9606.ENSP00000334836
DB06595,9606.ENSP00000329127
DB12874,9606.ENSP00000391090
DB06595,9606.ENSP00000263800
DB06469,9606.ENSP00000501150
DB06595,9606.ENSP00000265026
DB06595,9606.ENSP00000390535
DB06595,9606.ENSP00000500582
DB06595,9606.ENSP00000270112
DB06595,9606.ENSP00000334876
DB06469,9606.ENSP00000262752
DB06595,9606.ENSP00000358335
DB06595,9606.ENSP00000370912
DB05465,9606.ENSP00000296474
DB06469,9606.ENSP00000270162
DB06469,9606.ENSP00000347767
DB06469,9606.ENSP00000383053
DB12874,9606.ENSP00000261716
DB06469,9606.ENSP00000424757
DB01268,9606.ENSP00000364361
DB06469,9606.ENSP00000166244
DB06595,9606.ENSP00000340361
DB06469,9606.ENSP00000311005
DB06469,9606.ENSP00000261845
DB06595,9606.ENSP00000353904
DB06595,9606.ENSP00000261233
DB06595,9606.ENSP00000337451
DB06595,9606.ENSP00000264399
DB06595,9606.ENSP00000356070
DB12874,9606.ENSP00000367900
DB06595,9606.ENSP00000379964
DB06595,9606.ENSP00000408695
DB12874,9606.ENSP00000373700
DB06469,9606.ENSP00000410561
DB06595,9606.ENSP00000479667
DB06469,9606.ENSP00000259089
DB06469,9606.ENSP00000431885
DB06469,9606.ENSP00000349458
DB12874,9606.ENSP00000386213
DB01268,9606.ENSP00000500386
DB06595,9606.ENSP00000310649
DB06469,9606.ENSP00000325748
DB05465,9606.ENSP00000373700
DB06595,9606.ENSP00000410561
DB01268,9606.ENSP00000435412
DB06469,9606.ENSP00000262891
DB06595,9606.ENSP00000261211
DB06469,9606.ENSP00000261716
DB06469,9606.ENSP00000390535
DB06469,9606.ENSP00000265026
DB06469,9606.ENSP00000283109
DB06595,9606.ENSP00000269571
DB06595,9606.ENSP00000483467
DB06595,9606.ENSP00000274643
DB06595,9606.ENSP00000362680
DB00398,9606.ENSP00000422435
DB01268,9606.ENSP00000386213
DB06469,9606.ENSP00000394734
DB06469,9606.ENSP00000462468
DB06469,9606.ENSP00000264952
DB06595,9606.ENSP00000378914
DB06595,9606.ENSP00000363708
DB06469,9606.ENSP00000355741
DB01268,9606.ENSP00000367900
DB01268,9606.ENSP00000386456
DB06469,9606.ENSP00000497069
DB06595,9606.ENSP00000322251
DB06595,9606.ENSP00000261402
DB06595,9606.ENSP00000301178
DB06595,9606.ENSP00000241453
DB06595,9606.ENSP00000371614
DB12874,9606.ENSP00000431885
DB06595,9606.ENSP00000261845
DB01268,9606.ENSP00000262752
DB06595,9606.ENSP00000424757
DB06469,9606.ENSP00000469413
DB06469,9606.ENSP00000370891
DB06469,9606.ENSP00000233057
DB06469,9606.ENSP00000262300
DB06595,9606.ENSP00000166244
DB06469,9606.ENSP00000479667
DB12874,9606.ENSP00000345997
DB05465,9606.ENSP00000500386
DB06595,9606.ENSP00000422435
DB06595,9606.ENSP00000353864
DB06469,9606.ENSP00000257290
DB12874,9606.ENSP00000386456
DB06469,9606.ENSP00000217188
DB01268,9606.ENSP00000422435
DB06469,9606.ENSP00000373700
DB12874,9606.ENSP00000317985
DB06469,9606.ENSP00000427562
DB06595,9606.ENSP00000411099
DB06595,9606.ENSP00000369390
DB06469,9606.ENSP00000385571
DB06595,9606.ENSP00000264316
DB06469,9606.ENSP00000211287
DB06469,9606.ENSP00000476145
DB06595,9606.ENSP00000298630
DB00398,9606.ENSP00000373700
DB06595,9606.ENSP00000296474
DB06469,9606.ENSP00000288135
DB06469,9606.ENSP00000378485
DB06595,9606.ENSP00000357345
DB06595,9606.ENSP00000261716
DB06469,9606.ENSP00000398655
DB06595,9606.ENSP00000275815
DB06469,9606.ENSP00000357869
DB06595,9606.ENSP00000259808
DB05465,9606.ENSP00000359424
DB06595,9606.ENSP00000346484
DB06595,9606.ENSP00000306124
DB06595,9606.ENSP00000314067
DB06469,9606.ENSP00000322251
DB00398,9606.ENSP00000353452
DB06595,9606.ENSP00000333685
DB06469,9606.ENSP00000378914
DB06595,9606.ENSP00000363571
DB06595,9606.ENSP00000282908
DB06469,9606.ENSP00000337451
DB06595,9606.ENSP00000363313
DB06595,9606.ENSP00000217244
DB06595,9606.ENSP00000449381
DB06595,9606.ENSP00000362931
DB06595,9606.ENSP00000419782
DB06595,9606.ENSP00000358997
DB06469,9606.ENSP00000345133
DB06595,9606.ENSP00000286301
DB06595,9606.ENSP00000482548
DB00398,9606.ENSP00000261716
DB05465,9606.ENSP00000313950
DB06595,9606.ENSP00000435412
DB01268,9606.ENSP00000324560
DB06469,9606.ENSP00000278568
DB05465,9606.ENSP00000422435
DB06469,9606.ENSP00000381129
DB06595,9606.ENSP00000361423
DB06469,9606.ENSP00000362702
DB06469,9606.ENSP00000332118
DB06595,9606.ENSP00000399511
DB01268,9606.ENSP00000275815
DB06469,9606.ENSP00000281092
DB06469,9606.ENSP00000377867
DB06595,9606.ENSP00000483570
DB06595,9606.ENSP00000442656
DB12874,9606.ENSP00000261937
DB06469,9606.ENSP00000269571
DB06595,9606.ENSP00000345083
DB06595,9606.ENSP00000394484
DB06469,9606.ENSP00000341874
DB06595,9606.ENSP00000298048
DB06469,9606.ENSP00000331602
DB05465,9606.ENSP00000319192
DB06469,9606.ENSP00000428924
DB12874,9606.ENSP00000303887
DB06595,9606.ENSP00000501150
DB06595,9606.ENSP00000499900
DB06595,9606.ENSP00000358770
DB00398,9606.ENSP00000479667
DB06595,9606.ENSP00000386135
DB06595,9606.ENSP00000340292
DB06469,9606.ENSP00000376306
DB06595,9606.ENSP00000350195
DB06595,9606.ENSP00000406472
DB06595,9606.ENSP00000277120
DB06469,9606.ENSP00000340361
DB06469,9606.ENSP00000264972
DB06469,9606.ENSP00000346148
DB06469,9606.ENSP00000405004
DB06595,9606.ENSP00000419060
DB06595,9606.ENSP00000379098
DB06595,9606.ENSP00000358813
DB06469,9606.ENSP00000379964
DB06469,9606.ENSP00000370912
DB06469,9606.ENSP00000407442
DB06595,9606.ENSP00000263923
DB06595,9606.ENSP00000356355
DB06469,9606.ENSP00000255641
DB05465,9606.ENSP00000386135
DB12874,9606.ENSP00000345133
DB06595,9606.ENSP00000343658
DB06595,9606.ENSP00000475724
DB06469,9606.ENSP00000262848
DB06595,9606.ENSP00000353452
DB06469,9606.ENSP00000324856
DB06469,9606.ENSP00000435412
DB06595,9606.ENSP00000350896
DB01268,9606.ENSP00000353452
DB01268,9606.ENSP00000479667
DB06469,9606.ENSP00000357883
DB06595,9606.ENSP00000275493
DB06595,9606.ENSP00000262300
DB06469,9606.ENSP00000266970
DB06469,9606.ENSP00000357178
DB06469,9606.ENSP00000363708
DB06469,9606.ENSP00000315118
DB06469,9606.ENSP00000351905
DB06469,9606.ENSP00000354207
DB05465,9606.ENSP00000431885
DB06469,9606.ENSP00000216911
DB01268,9606.ENSP00000431885
DB06469,9606.ENSP00000305976
DB06469,9606.ENSP00000411099
DB06469,9606.ENSP00000241453
DB06469,9606.ENSP00000295709
DB06469,9606.ENSP00000303887
DB06469,9606.ENSP00000378974
DB01268,9606.ENSP00000345133
DB06469,9606.ENSP00000282356
DB12874,9606.ENSP00000363092
DB06469,9606.ENSP00000262752
DB06469,9606.ENSP00000425824
DB12874,9606.ENSP00000296474
DB06469,9606.ENSP00000427552
DB06595,9606.ENSP00000369325
DB06595,9606.ENSP00000357494
DB06595,9606.ENSP00000375986
DB06595,9606.ENSP00000368356
DB06469,9606.ENSP00000445381
DB06595,9606.ENSP00000361554
DB06595,9606.ENSP00000451828
DB06595,9606.ENSP00000291823
DB06469,9606.ENSP00000276052
DB06595,9606.ENSP00000363117
DB05465,9606.ENSP00000435412
DB06595,9606.ENSP00000348278
DB05465,9606.ENSP00000275815
DB06595,9606.ENSP00000314499
DB06595,9606.ENSP00000370891
DB05465,9606.ENSP00000406472
DB06469,9606.ENSP00000274643
DB06469,9606.ENSP00000374323
DB06595,9606.ENSP00000355741
DB06469,9606.ENSP00000263025
DB01268,9606.ENSP00000329127
DB01268,9606.ENSP00000347427
DB00398,9606.ENSP00000270112
DB06469,9606.ENSP00000477713
DB06469,9606.ENSP00000362361
DB06595,9606.ENSP00000359552
DB06469,9606.ENSP00000380044
DB06469,9606.ENSP00000263881
DB06469,9606.ENSP00000342105
DB06595,9606.ENSP00000381531
DB06469,9606.ENSP00000310649
DB06469,9606.ENSP00000408695
DB06595,9606.ENSP00000294066
DB06469,9606.ENSP00000380638
DB00398,9606.ENSP00000319192
DB06469,9606.ENSP00000430684
DB01268,9606.ENSP00000345997
DB06595,9606.ENSP00000325748
DB06595,9606.ENSP00000453858
DB05465,9606.ENSP00000359119
DB06469,9606.ENSP00000375892
DB06595,9606.ENSP00000259089
DB06469,9606.ENSP00000380675
DB06595,9606.ENSP00000309597
DB06595,9606.ENSP00000495965
DB05465,9606.ENSP00000324560
DB06595,9606.ENSP00000384625
DB06595,9606.ENSP00000431885
DB06469,9606.ENSP00000369375
DB06595,9606.ENSP00000302486
DB06595,9606.ENSP00000353846
DB00398,9606.ENSP00000406472
DB01268,9606.ENSP00000363092
DB06595,9606.ENSP00000342235
DB06595,9606.ENSP00000419260
DB06469,9606.ENSP00000329127
DB06469,9606.ENSP00000363092
DB06469,9606.ENSP00000220751
DB00398,9606.ENSP00000386135
DB00398,9606.ENSP00000435412
DB06595,9606.ENSP00000261799
DB06595,9606.ENSP00000346671
DB06595,9606.ENSP00000311005
DB00398,9606.ENSP00000359424
DB06595,9606.ENSP00000347767
DB06469,9606.ENSP00000410294
DB06469,9606.ENSP00000311713
DB06469,9606.ENSP00000324806
DB06469,9606.ENSP00000300093
DB06595,9606.ENSP00000480763
DB00398,9606.ENSP00000324560
DB06469,9606.ENSP00000229812
DB01268,9606.ENSP00000393978
DB12874,9606.ENSP00000310649
DB01268,9606.ENSP00000406472
DB00398,9606.ENSP00000275815
DB06595,9606.ENSP00000345997
DB12874,9606.ENSP00000322251
DB06595,9606.ENSP00000222330
DB06469,9606.ENSP00000465039
DB12874,9606.ENSP00000378914
DB06595,9606.ENSP00000367686
DB06595,9606.ENSP00000393312
DB06469,9606.ENSP00000282397
DB06595,9606.ENSP00000356155
DB06595,9606.ENSP00000283109
DB06469,9606.ENSP00000394484
DB06595,9606.ENSP00000376306
DB12874,9606.ENSP00000329127
DB05465,9606.ENSP00000479667
DB06469,9606.ENSP00000301178
DB06469,9606.ENSP00000379098
DB06469,9606.ENSP00000499900
DB05465,9606.ENSP00000261233
DB06595,9606.ENSP00000428924
DB06469,9606.ENSP00000366563
DB06595,9606.ENSP00000263125
DB06469,9606.ENSP00000361107
DB06469,9606.ENSP00000263798
DB06595,9606.ENSP00000469413
DB06469,9606.ENSP00000459799
DB06469,9606.ENSP00000360290
DB01268,9606.ENSP00000499900
DB05465,9606.ENSP00000375986
DB06595,9606.ENSP00000311713
DB00398,9606.ENSP00000312741
DB06595,9606.ENSP00000365730
DB12874,9606.ENSP00000347427
DB05465,9606.ENSP00000270112
DB06595,9606.ENSP00000462468
DB00398,9606.ENSP00000378914
DB06469,9606.ENSP00000261233
DB12874,9606.ENSP00000261233
DB06469,9606.ENSP00000363313
DB12874,9606.ENSP00000408695
DB12874,9606.ENSP00000479667
DB06595,9606.ENSP00000498083
DB06469,9606.ENSP00000479667
DB06595,9606.ENSP00000383053
DB01268,9606.ENSP00000359119
DB00398,9606.ENSP00000345133
DB06469,9606.ENSP00000419782
DB06469,9606.ENSP00000371614
DB06595,9606.ENSP00000469863
DB06595,9606.ENSP00000349458
DB06469,9606.ENSP00000361423
DB06469,9606.ENSP00000442656
DB06469,9606.ENSP00000357494
DB06595,9606.ENSP00000381129
DB12874,9606.ENSP00000377262
DB06469,9606.ENSP00000483467
DB01268,9606.ENSP00000374323
DB12874,9606.ENSP00000375986
DB06595,9606.ENSP00000339824
DB12874,9606.ENSP00000262752
DB01268,9606.ENSP00000378914
DB06469,9606.ENSP00000416750
DB05465,9606.ENSP00000347427
DB05465,9606.ENSP00000408695
DB06469,9606.ENSP00000369162
DB00398,9606.ENSP00000322251
DB06595,9606.ENSP00000215832
DB06469,9606.ENSP00000393978
DB06595,9606.ENSP00000270162
